id,platform,location,address,google_place_id,sentiment_score,crowdedness,vibe_tags,original_text,source_url,created_at
5,ifoodie,芙香家FUKUYA 鐵鍋鬆餅,106臺北市大安區杭州南路二段61巷39號,ChIJndoaQjSpQjQRLXsNAjVeMiM,0.8,0.5,"sweet,food,dessert,japanese",台北日式老宅甜點『芙香家FUKUYA 鐵鍋鬆餅』菜單、脆皮泡芙口感的好吃鍋餅（榕錦時光生活園區內）,,2026-04-24 02:45:42
6,ifoodie,泰精選,100臺北市中正區北平西路3號2樓,ChIJC3Yu89GpQjQRIrUgbkJ0Kic,1.0,0.5,"Thai food,restaurant,trendy",台北最美泰式餐廳之一！還是「泰精選」認證🔥,,2026-04-24 02:45:43
7,ifoodie,檸檬老宅拌拌麵,106臺北市大安區通安街27巷1號,ChIJ8UneH4yrQjQRSE8DTPRvShw,0.8,0.5,"trendy,foodie,refreshing",檸檬老宅拌拌麵｜老宅改建的文青麵店 巷弄裡的酸甜清新滋味｜信義安和站、通安街,,2026-04-24 02:45:45
13,ifoodie,西門壽司丼,"1樓 No, No. 4武昌街二段82巷2弄萬華區臺北市108",ChIJ27W6NnapQjQRxoMVa9jMVIg,0.8,0.5,"food,restaurant,Japanese cuisine,recommendation",瞞著爹西門壽司丼，西門町日式餐廳推薦,,2026-04-24 02:45:51
15,ifoodie,136海鮮麵復興店,106台北市大安区复兴南路二段148巷32弄2號1樓,ChIJl48yPjCrQjQRovSaSxCO0kE,1.0,0.5,"food,seafood,noodles","136海鮮麵復興店,激推痛風超蝦海鮮麵,視覺震撼,清燉牛肉麵也是一絕",,2026-04-24 02:45:54
16,ifoodie,香港醉紅樓潮州菜館,10491臺北市中山區八德路二段326號2樓,ChIJwYlkUhOpQjQRuKKelkQpUuE,0.8,0.5,"food,restaurant,traditional",香港醉紅樓潮州菜館｜1975年創立的台北潮州老館子必點招牌滷水鵝、絲瓜烙,,2026-04-24 02:45:55
22,ifoodie,老麵攤二店,104臺北市中山區四平街21號1樓,ChIJXWY6-WapQjQR7OxlqACxbw8,1.0,0.5,"delicious,value_for_money",老麵攤二店環境超美！150 元起爽吃泰式個人餐，超值雙條餐真的太犯規,,2026-04-24 02:46:02
24,ifoodie,爸爸Kevin美式BBQ,105臺北市松山區南京東路三段303巷8弄5號,ChIJoRl0J1ypQjQRjWwMJNxhnDo,1.0,0.5,"BBQ,food,smoked meat",爸爸Kevin美式BBQ｜老美主廚煙燻牛胸肉超嫩必吃,,2026-04-24 02:46:04
28,ifoodie,兄弟大飯店薔薇廳,105臺北市松山區南京東路三段255號號13樓,ChIJIWnhi92rQjQRTqkBPYUSQXQ,1.0,0.5,"buffet,seafood,steak,dessert",兄弟大飯店薔薇廳｜台北吃到飽Buffet推薦：海鮮牛排甜點全都有、免千元飯店自助餐 @兔兒毛毛姊妹花,,2026-04-24 02:46:08
29,ifoodie,陳記眷村燒餅舖,116臺北市文山區興隆路一段70巷1-1號,ChIJ246wxDarQjQRUbd28AWwdd0,1.0,0.5,"delicious,local favorite",陳記眷村燒餅舖｜在地人激推的酥脆燒餅，酥脆飽滿超涮嘴的,,2026-04-24 02:46:09
30,ifoodie,楊家手工水餃,116臺北市文山區景後街176號,ChIJFYrvtwCqQjQRWKN3x__DfPA,1.0,0.5,"food,recommended",楊家手工水餃｜飽滿多汁韭菜餃，網友激推台北最好吃韭菜水餃！,,2026-04-24 02:46:10
32,ifoodie,吉林川客小館,10491臺北市中山區吉林路368號,ChIJ_S5QN1qpQjQRj1eTlW4M_jk,0.5,0.5,"food,private_dining",吉林川客小館，行天宮站附近的功夫私房菜,,2026-04-24 02:46:16
33,ifoodie,招治飯店,105臺北市松山區南京東路四段133巷4弄6號1樓,ChIJs66bM0qrQjQRuJSauVGzDWM,1.0,0.5,"delicious,affordable,classic",招治飯店，經典台菜料理真的不用找一桌人來吃而且還超便宜！,,2026-04-24 02:46:20
36,ifoodie,大膽牛腩麵,10478臺北市中山區遼寧街222號,ChIJo--aBuurQjQRyN89ig3p_vM,0.8,0.5,"food,noodle,restaurant",大膽牛腩麵｜香港人開的正宗港式牛腩麵，在地必吃人氣麵館（附菜單）,,2026-04-24 02:46:29
37,ifoodie,樂葵法式鐵板燒承德店,103臺北市大同區承德路一段2號7樓,ChIJJfWZFM2pQjQRXfWWGmtNzEA,1.0,0.5,"romantic,scenic,gourmet",樂葵法式鐵板燒承德店，最美高樓市景鐵板燒！,,2026-04-24 02:46:32
38,ifoodie,10MINS 十分晨食,104臺北市中山區一江街47號,ChIJjWUkqMepQjQRpoJEQ48Ch3U,0.8,0.5,"Taiwanese breakfast,Quality food",10MINS 十分晨食：願意為早餐多花十分鐘的台式質感早午餐,,2026-04-24 02:46:36
40,ifoodie,杭州小籠湯包民生旗艦店,105臺北市松山區民生東路三段118號,ChIJDyLXkuXQDRQRfQ16QD6UkH0,1.0,0.5,"foodie,michelin,popular",杭州小籠湯包民生旗艦店｜米其林必比登推薦，小籠包控必吃人氣名店,,2026-04-24 02:46:43
46,ifoodie,米糕日子,111臺北市士林區福華路147巷28號,ChIJDaE7KqyvQjQRCG1Io3sZYMc,0.8,0.5,"food,traditional,delicious",芝山站美食『米糕日子｜來自彰化員林的好味道』好吃香Ｑ古早味米糕、淡水鮮奶麻糬也吃得到,,2026-04-24 02:47:00
49,ifoodie,福鼎湯包店,116臺北市文山區興隆路三段112巷2弄13號,ChIJcaceqxOqQjQRjSTp2mVr7A0,0.8,0.5,"affordable,delicious,popular",福鼎湯包店｜號稱平民版鼎泰豐！人氣湯包、蛋餅、大骨湯麵全都只要銅板價！,,2026-04-24 02:47:10
50,ifoodie,祇園.禪院壽喜燒專門店,106臺北市大安區樂利路11巷22號,ChIJe4yZYTWrQjQRbTUK178K8GU,1.0,0.5,"food,Japanese cuisine,yakiniku",【祇園.禪院壽喜燒專門店】台北必吃京都祇園關西壽喜燒！全包廂制+桌邊服務一口入魂!台北名店橋山壽喜燒姐妹店,,2026-04-24 02:47:13
54,ifoodie,洪樓小館,111臺北市士林區德行西路25號,ChIJ_____5auQjQRFoM9xHbmMI4,1.0,0.5,"taiwanese food,local favorite,high cp value",洪樓小館｜高CP值台菜熱炒、在地人必吃老店（菜單）,,2026-04-24 02:47:26
56,ifoodie,大龍峒熊會長油飯,103臺北市大同區哈密街59巷18弄,ChIJgx115UmpQjQRkfIeLN2ckTw,0.8,0.5,"food,nightmarket,trendy",大龍峒熊會長油飯｜藏在大龍峒菜市場巷弄凌晨五點半就開賣的傳說級油飯,,2026-04-24 02:47:32
57,ifoodie,葫蘆小郭鐵板燒,10491臺北市中山區錦州街166號,ChIJ1ZBNbFypQjQR4YV2KyCLi7Q,1.0,0.5,"food,restaurant",葫蘆小郭鐵板燒｜台北最強平價鐵板燒霸主,,2026-04-24 02:47:36
60,ifoodie,小陳牛肉麵,110臺北市信義區虎林街135號,ChIJzyqO_qOrQjQR2lwRY8GcyUc,0.8,0.8,"food,popular,busy",小陳牛肉麵，每天生意都排隊的信義區牛肉麵,,2026-04-24 02:47:45
64,ifoodie,內湖捷運西湖站,114台灣臺北市內湖區,ChIJL3Ww7W6sQjQR5Ss0Y6FH8yA,0.8,0.5,"food,delicious",環山豆漿小籠包，比手臂還大的蛋餅包油條，內湖捷運西湖站美食(姊姊食記),,2026-04-24 02:47:56
65,ifoodie,板前屋炭烤鰻魚飯,115臺北市南港區研究院路一段88號,ChIJV-zxvVmrQjQRfuWpJ6NRLjA,1.0,1.0,"popular,delicious",板前屋炭烤鰻魚飯｜堪稱無刺鰻魚飯霸主！用餐時間總是爆滿，全台手工去刺、脆皮白燒鰻魚飯創始店,,2026-04-24 02:48:00
67,ifoodie,港都熱炒民生東旗艦店,104臺北市中山區民生東路一段52號,ChIJLd2tf7ipQjQR7SfX0tQ30z8,0.8,0.7,"food,taiwanese cuisine,restaurant",【雙連美食餐廳推薦】港都熱炒民生東旗艦店 超人氣台北平價熱炒！內用白飯冰淇淋吃到飽,,2026-04-24 02:48:07
69,ifoodie,金奇日式手工漢堡排,10491臺北市中山區林森北路85巷43號,ChIJbzxLfZCpQjQRNSv3g6ZUvvk,0.8,0.5,"foodie,Japanese cuisine,burger,therapeutic",金奇日式手工漢堡排．台北中山區美食｜林森北路隱藏版職人漢堡排！日本人主廚精緻呈現！爆汁手作漢堡排太療癒！驚喜辣油味噌湯！條通美食推薦！捷運中山站～中肯‧食記！,,2026-04-24 02:48:13
71,ifoodie,輝室,100臺北市中正區南昌路二段1巷2號,ChIJb0WIIIapQjQROPsAf_O0Px0,0.8,0.5,"creative,taiwanese cuisine,historical,restaurant",浸潤在百年古蹟餘韻中的創意台式辦桌料理－輝室 餐酒辦桌／台北中正紀念堂站,,2026-04-24 02:48:21
73,ifoodie,富善雞湯麵舖,105臺北市松山區光復北路11巷54號,ChIJJYCBUgCrQjQRpuH-CMvmjpI,1.0,0.5,"food,restaurant,delicious,recommended",富善雞湯麵舖：香菜控必吃爆量香菜雞腿湯麵！雞腿雙拼、剝皮辣椒雞湯超滿足【台北餐廳推薦】巷弄美食【松山美食】,,2026-04-24 02:48:26
74,ifoodie,好味道臭豆腐,112臺北市北投區石牌路一段41號,ChIJq6qqqqsCaDQRUFzPhQd3PKs,1.0,1.0,"delicious,popular,crispy",好味道臭豆腐｜天天排隊的金黃酥脆臭豆腐，辣醬泡菜超加分（菜單）,,2026-04-24 02:48:30
76,ifoodie,海鹽牛奶糖漢堡,106026臺北市大安區和平東路二段118巷4-1號1樓,ChIJhVKc3zCrQjQRgJCl4Ki0hog,1.0,0.5,"food,recommended",海鹽牛奶糖漢堡經典必吃！還有超級新品「爐烤牛三明治」！,,2026-04-24 02:48:36
77,ifoodie,和園川味小吃,100臺北市中正區紹興南街5之2號,ChIJnXmLh3CpQjQR9QwzobICtsw,1.0,0.5,"food,restaurant,recommendation",和園川味小吃｜平價大份量川味熱炒，上班族激推超高CP值餐廳,,2026-04-24 02:48:39
78,ifoodie,台北福華大飯店,106臺北市大安區仁愛路三段160號,ChIJU0w5SdGrQjQRYugzBai1GgU,0.8,0.5,"food,buffet,deal",台北福華大飯店港點吃到飽｜珍珠坊優惠太划算，必須吃！,,2026-04-24 02:48:43
79,ifoodie,肥前屋,10491臺北市中山區中山北路一段121巷13號,ChIJCcqBOFSpQjQRhdT4PJhnHOc,0.8,0.8,"food,trendy,popular",肥前屋｜台北鰻魚飯名店回歸．引爆排隊熱潮．魚刺變少安心吃,,2026-04-24 02:48:46
80,ifoodie,金魚日本料理,106臺北市大安區延吉街233巷18號,ChIJPX-C-sirQjQRIzX4sO6mgaA,0.8,0.5,"food,japanese cuisine,value for money",金魚日本料理。生魚片套餐內含白飯、湯品、小菜、清蒸魚加上滿到掉出來生魚片!一套470元2個人吃都沒有問題!,,2026-04-24 02:48:50
81,ifoodie,雙囍家常料理,100臺北市中正區羅斯福路二段48巷2號,ChIJU09lSJqpQjQR0DsiKqtRtGY,1.0,0.5,"food,restaurant,hidden gem",雙囍家常料理｜隱身巷弄的超強平價熱炒，左宗棠雞跟蔥爆牛肉必點 (菜單),,2026-04-24 02:48:53
83,ifoodie,釜山湯飯부산국밥,"1樓 No. 7, No. 7號南京東路五段66巷12弄松山區臺北市105",ChIJO1xUZYarQjQRllAn__NoXAU,1.0,0.5,"Delicious,Korean Food,Taipei Recommendation",釜山湯飯부산국밥 韓國老闆店員料理道地釜山美食！好吃台北韓式湯飯推薦,,2026-04-24 02:48:59
85,ifoodie,重慶郭魚湯,103臺北市大同區蘭州街4-1號,ChIJ67s-NBWpQjQRwCEeX4caNVA,1.0,0.5,"food,restaurant,delicious",重慶郭魚湯｜這魚湯真的太強了！膠質滿滿的龍膽石斑 (菜單),,2026-04-24 02:49:05
90,ifoodie,金山客家小館,105臺北市松山區南京東路五段250巷2弄5號1樓,ChIJW-0Vl5arQjQRnd0jVlLsV1k,0.8,0.5,"tasty,affordable,traditional",金山客家小館｜在地人從小吃到大的老字號客家菜，份量實在又不傷荷包,,2026-04-24 02:49:22
91,ifoodie,富善雞湯麵舖萬華昆明店,108臺北市萬華區昆明街85之1號,ChIJ3efgqnWpQjQRYBMrCP68sHs,0.8,0.6,"food,popular,trendy",萬華美食【富善雞湯麵舖萬華昆明店】霜淇淋豆花飲料吃到飽，西門町人氣雞湯麵,,2026-04-24 02:49:26
92,ifoodie,賀加小吃店,110臺北市信義區莊敬路325巷10號,ChIJO6nsBmGrQjQRWZxL1Sk1WqE,0.8,0.5,"foodie,trendy",賀加小吃店｜北醫吳興商圈爆紅旋轉煲仔飯與回甘藥燉排骨 (菜單),,2026-04-24 02:49:29
95,ifoodie,南門市場,100臺北市中正區羅斯福路一段8號,ChIJ32YgyZ6pQjQR6FyHNxrDp44,0.8,0.5,"food,market,delicious",南門市場美食「史料味極」神之冰糖蹄花、紅油抄手、酸辣乾拌麵，菜單價位,,2026-04-24 02:49:39
96,ifoodie,愚火披薩,106臺北市大安區忠孝東路三段251巷9弄3號1樓,ChIJoUQz2wOrQjQRxIz_wrB6-70,0.0,0.5,,愚火披薩 — 捷運忠孝復興站附近隱身巷弄內的窯烤披薩專賣店,,2026-04-24 02:49:42
97,ifoodie,Gira Pizza,105臺北市松山區敦化北路165巷6號,ChIJkwhy1ZKrQjQR7TwgoE858CE,0.8,0.5,"food,pizza,Italian",Gira Pizza 旋轉披薩｜一定要訂位！義大利披薩職人亞軍開的店就在小巨蛋巷弄,,2026-04-24 02:49:46
100,ifoodie,文昌宮,104臺北市中山區民生西路45巷9號,ChIJd55_FkKpQjQRzAaz_lDtVP0,0.8,0.5,"food,traditional,historical",蔡張呅蚵嗲蘿蔔糕米糕，30年老字號文昌宮炸蚵嗲！,,2026-04-24 02:49:54
101,ifoodie,巷口船麵,110臺北市信義區虎林街57-11號,ChIJNyS6FwCrQjQRwjjD8ylu5OA,0.8,0.5,"food,Thai cuisine,night market",【台北松山信義美食】巷口船麵 店員全是泰國人的道地泰式小吃店！近饒河夜市五分埔商圈,,2026-04-24 02:49:58
102,ifoodie,海陸海產店,10491臺北市中山區中原街40號,ChIJWc58HMSpQjQR8_g64TmlO20,0.8,0.5,"seafood,good_price,delicious",海陸海產店，預約制海鮮熱炒，價格實在好吃不貴,,2026-04-24 02:50:02
106,ifoodie,牛肆,10491臺北市中山區吉林路422號,ChIJUcnYC1qpQjQRS3dz6A_PJ7Y,0.8,0.8,"Popular,Reservations Recommended,Beef Hot Pot",牛肆｜公認人氣最高的台北溫體牛肉火鍋一定要提早訂位,,2026-04-24 02:50:13
107,ifoodie,華西街夜市,108臺北市萬華區華西街,ChIJa_nIQKmpQjQROfvCKC0Y7mo,0.8,0.5,"delicious,night market,tasty,affordable",客家美食小吃店．台北萬華區美食｜華西街夜市隱藏版熱炒王者！必點神級香煎豬肝！蝦仁肉絲蛋炒飯鑊氣十足！白飯免費吃到飽！萬華平價熱炒推薦～中肯‧食記！,,2026-04-24 02:50:17
108,ifoodie,何家百年祖傳排骨酥,108臺北市萬華區貴陽街二段110號,ChIJnRubrg6pQjQRjNk11WYljsE,0.8,0.8,"food,popular,busy",港墘｜何家百年祖傳排骨酥，肉感十足蒜味香氣實在太強，最好事先預訂不然排得天荒地老,,2026-04-24 02:50:20
109,ifoodie,黃記老牌燉肉飯,100臺北市中正區漢口街一段101號,ChIJXQfgrw6pQjQRErsuZm-3hpw,0.5,0.5,"food,revisit",黃記老牌燉肉飯搬家後再訪，捷運西門站美食(姊姊食記),,2026-04-24 02:50:24
